x,y,TOTAL_SNOW,LOCAL_DAY,STATION_NAME,MIN_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST_FLAG,MIN_TEMPERATURE,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS,MAX_TEMPERATURE,TOTAL_RAIN,LOCAL_DATE,HEATING_DEGREE_DAYS_FLAG,TOTAL_SNOW_FLAG,MAX_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE,ID,MAX_TEMPERATURE_FLAG,SNOW_ON_GROUND,LOCAL_YEAR,MAX_REL_HUMIDITY,HEATING_DEGREE_DAYS,TOTAL_RAIN_FLAG,CLIMATE_IDENTIFIER,MIN_TEMPERATURE_FLAG,PROVINCE_CODE,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,SNOW_ON_GROUND_FLAG,TOTAL_PRECIPITATION_FLAG,LOCAL_MONTH,MIN_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST
-73.66666666666667,45.45,,1,COTE ST LUC,,M,,,,,,,1960-09-01 00:00:00,M,M,,,7021945.1960.9.1,M,,1960,,,M,7021945,M,QC,,,,M,9,,M,
-73.66666666666667,45.45,,2,COTE ST LUC,,M,,,,,,,1960-09-02 00:00:00,M,M,,,7021945.1960.9.2,M,,1960,,,M,7021945,M,QC,,,,M,9,,M,
-73.66666666666667,45.45,,3,COTE ST LUC,,M,,,,,,,1960-09-03 00:00:00,M,M,,,7021945.1960.9.3,M,,1960,,,M,7021945,M,QC,,,,M,9,,M,
-73.66666666666667,45.45,,4,COTE ST LUC,,M,,,,,,,1960-09-04 00:00:00,M,M,,,7021945.1960.9.4,M,,1960,,,M,7021945,M,QC,,,,M,9,,M,
-73.66666666666667,45.45,,5,COTE ST LUC,,M,,,,,,,1960-09-05 00:00:00,M,M,,,7021945.1960.9.5,M,,1960,,,M,7021945,M,QC,,,,M,9,,M,
-73.66666666666667,45.45,,6,COTE ST LUC,,M,,,,,,,1960-09-06 00:00:00,M,M,,,7021945.1960.9.6,M,,1960,,,M,7021945,M,QC,,,,M,9,,M,
-73.66666666666667,45.45,,7,COTE ST LUC,,M,,,,,,,1960-09-07 00:00:00,M,M,,,7021945.1960.9.7,M,,1960,,,M,7021945,M,QC,,,,M,9,,M,
-73.66666666666667,45.45,,8,COTE ST LUC,,M,,,,,,,1960-09-08 00:00:00,M,M,,,7021945.1960.9.8,M,,1960,,,M,7021945,M,QC,,,,M,9,,M,
-73.66666666666667,45.45,,9,COTE ST LUC,,M,,,,,,,1960-09-09 00:00:00,M,M,,,7021945.1960.9.9,M,,1960,,,M,7021945,M,QC,,,,M,9,,M,
-73.66666666666667,45.45,,10,COTE ST LUC,,M,,,,,,,1960-09-10 00:00:00,M,M,,,7021945.1960.9.10,M,,1960,,,M,7021945,M,QC,,,,M,9,,M,
-73.66666666666667,45.45,,11,COTE ST LUC,,M,,,,,,,1960-09-11 00:00:00,M,M,,,7021945.1960.9.11,M,,1960,,,M,7021945,M,QC,,,,M,9,,M,
-73.66666666666667,45.45,0,12,COTE ST LUC,,,,11.7,22.1,0,15.6,22.1,1960-09-12 00:00:00,,,,13.7,7021945.1960.9.12,,,1960,,4.3,,7021945,,QC,,,,,9,,,
-73.66666666666667,45.45,0,13,COTE ST LUC,,,,11.7,7.6,0,18.3,7.6,1960-09-13 00:00:00,,,,15,7021945.1960.9.13,,,1960,,3,,7021945,,QC,,,,,9,,,
-73.66666666666667,45.45,0,14,COTE ST LUC,,,,8.3,0,0,17.2,0,1960-09-14 00:00:00,,,,12.8,7021945.1960.9.14,,,1960,,5.2,,7021945,,QC,,,,,9,,,
-73.66666666666667,45.45,0,15,COTE ST LUC,,,,7.2,1.8,0,18.3,1.8,1960-09-15 00:00:00,,,,12.8,7021945.1960.9.15,,,1960,,5.2,,7021945,,QC,,,,,9,,,
-73.66666666666667,45.45,0,16,COTE ST LUC,,,,2.8,0,0,16.7,0,1960-09-16 00:00:00,,,,9.8,7021945.1960.9.16,,,1960,,8.2,,7021945,,QC,,,,,9,,,
-73.66666666666667,45.45,0,17,COTE ST LUC,,,,6.1,5.3,0,18.3,5.3,1960-09-17 00:00:00,,,,12.2,7021945.1960.9.17,,,1960,,5.8,,7021945,,QC,,,,,9,,,
-73.66666666666667,45.45,0,18,COTE ST LUC,,,,12.2,0,0,20,0,1960-09-18 00:00:00,,,,16.1,7021945.1960.9.18,,,1960,,1.9,,7021945,,QC,,,,,9,,,
-73.66666666666667,45.45,0,19,COTE ST LUC,,,,7.2,0,0,16.1,0,1960-09-19 00:00:00,,,,11.7,7021945.1960.9.19,,,1960,,6.3,T,7021945,,QC,,,,T,9,,,
-73.66666666666667,45.45,0,20,COTE ST LUC,,,,12.2,0,0,17.2,0,1960-09-20 00:00:00,,,,14.7,7021945.1960.9.20,,,1960,,3.3,T,7021945,,QC,,,,T,9,,,
-73.66666666666667,45.45,0,21,COTE ST LUC,,,,11.1,0,0,18.9,0,1960-09-21 00:00:00,,,,15,7021945.1960.9.21,,,1960,,3,,7021945,,QC,,,,,9,,,
-73.66666666666667,45.45,0,22,COTE ST LUC,,,,7.2,0,0,21.1,0,1960-09-22 00:00:00,,,,14.2,7021945.1960.9.22,,,1960,,3.8,T,7021945,,QC,,,,T,9,,,
-73.66666666666667,45.45,0,23,COTE ST LUC,,,,12.8,0,0,20.6,0,1960-09-23 00:00:00,,,,16.7,7021945.1960.9.23,,,1960,,1.3,T,7021945,,QC,,,,T,9,,,
-73.66666666666667,45.45,0,24,COTE ST LUC,,,,12.8,0,0,19.5,0,1960-09-24 00:00:00,,,,16.2,7021945.1960.9.24,,,1960,,1.8,,7021945,,QC,,,,,9,,,
-73.66666666666667,45.45,0,25,COTE ST LUC,,,,10.6,0,0,22.2,0,1960-09-25 00:00:00,,,,16.4,7021945.1960.9.25,,,1960,,1.6,,7021945,,QC,,,,,9,,,
-73.66666666666667,45.45,0,26,COTE ST LUC,,,,13.3,1.8,0,22.2,1.8,1960-09-26 00:00:00,,,,17.8,7021945.1960.9.26,,,1960,,0.2,,7021945,,QC,,,,,9,,,
-73.66666666666667,45.45,0,27,COTE ST LUC,,,,15,0,0.1,21.1,0,1960-09-27 00:00:00,,,,18.1,7021945.1960.9.27,,,1960,,0,,7021945,,QC,,,,,9,,,
-73.66666666666667,45.45,0,28,COTE ST LUC,,,,12.2,0,0,21.1,0,1960-09-28 00:00:00,,,,16.7,7021945.1960.9.28,,,1960,,1.3,,7021945,,QC,,,,,9,,,
-73.66666666666667,45.45,0,29,COTE ST LUC,,,,9.5,0,0,17.2,0,1960-09-29 00:00:00,,,,13.4,7021945.1960.9.29,,,1960,,4.6,,7021945,,QC,,,,,9,,,
-73.66666666666667,45.45,0,30,COTE ST LUC,,,,13.9,5.3,0,18.3,5.3,1960-09-30 00:00:00,,,,16.1,7021945.1960.9.30,,,1960,,1.9,,7021945,,QC,,,,,9,,,
-73.66666666666667,45.45,0,1,COTE ST LUC,,,,7.2,9.1,0,14.5,9.1,1960-11-01 00:00:00,,,,10.9,7021945.1960.11.1,,,1960,,7.1,,7021945,,QC,,,,,11,,,
-73.66666666666667,45.45,0,2,COTE ST LUC,,,,7.2,1.3,0,9.5,1.3,1960-11-02 00:00:00,,,,8.4,7021945.1960.11.2,,,1960,,9.6,,7021945,,QC,,,,,11,,,
-73.66666666666667,45.45,0,3,COTE ST LUC,,,,5.6,0,0,8.9,0,1960-11-03 00:00:00,,,,7.3,7021945.1960.11.3,,,1960,,10.7,T,7021945,,QC,,,,T,11,,,
-73.66666666666667,45.45,0,4,COTE ST LUC,,,,3.3,0,0,5.6,0,1960-11-04 00:00:00,,,,4.5,7021945.1960.11.4,,,1960,,13.5,,7021945,,QC,,,,,11,,,
-73.66666666666667,45.45,0.5,5,COTE ST LUC,,,,0,0.5,0,5.6,0,1960-11-05 00:00:00,,,,2.8,7021945.1960.11.5,,,1960,,15.2,,7021945,,QC,,,,,11,,,
-73.66666666666667,45.45,0,6,COTE ST LUC,,,,-0.6,0,0,3.9,0,1960-11-06 00:00:00,,,,1.7,7021945.1960.11.6,,,1960,,16.3,,7021945,,QC,,,,,11,,,
-73.66666666666667,45.45,0,7,COTE ST LUC,,,,-2.8,0,0,2.8,0,1960-11-07 00:00:00,,,,0,7021945.1960.11.7,,,1960,,18,,7021945,,QC,,,,,11,,,
-73.66666666666667,45.45,0,8,COTE ST LUC,,,,-3.9,4.8,0,7.2,4.8,1960-11-08 00:00:00,,,,1.7,7021945.1960.11.8,,,1960,,16.3,,7021945,,QC,,,,,11,,,
-73.66666666666667,45.45,0,9,COTE ST LUC,,,,3.9,16.5,0,6.1,16.5,1960-11-09 00:00:00,,,,5,7021945.1960.11.9,,,1960,,13,,7021945,,QC,,,,,11,,,
-73.66666666666667,45.45,0,10,COTE ST LUC,,,,2.8,0.8,0,8.3,0.8,1960-11-10 00:00:00,,,,5.6,7021945.1960.11.10,,,1960,,12.4,,7021945,,QC,,,,,11,,,
-73.66666666666667,45.45,0,11,COTE ST LUC,,,,-1.1,0,0,4.4,0,1960-11-11 00:00:00,,,,1.7,7021945.1960.11.11,,,1960,,16.3,,7021945,,QC,,,,,11,,,
-73.66666666666667,45.45,0,12,COTE ST LUC,,,,-0.6,2.8,0,7.2,2.8,1960-11-12 00:00:00,,,,3.3,7021945.1960.11.12,,,1960,,14.7,,7021945,,QC,,,,,11,,,
-73.66666666666667,45.45,0,13,COTE ST LUC,,,,1.1,0,0,6.1,0,1960-11-13 00:00:00,,,,3.6,7021945.1960.11.13,,,1960,,14.4,T,7021945,,QC,,,,T,11,,,
-73.66666666666667,45.45,0,14,COTE ST LUC,,,,0.6,1.3,0,6.1,1.3,1960-11-14 00:00:00,,,,3.4,7021945.1960.11.14,,,1960,,14.6,,7021945,,QC,,,,,11,,,
-73.66666666666667,45.45,0,15,COTE ST LUC,,,,1.7,20.3,0,11.7,20.3,1960-11-15 00:00:00,,,,6.7,7021945.1960.11.15,,,1960,,11.3,,7021945,,QC,,,,,11,,,
-73.66666666666667,45.45,0,16,COTE ST LUC,,,,9.5,1.5,0,15,1.5,1960-11-16 00:00:00,,,,12.3,7021945.1960.11.16,,,1960,,5.7,,7021945,,QC,,,,,11,,,
-73.66666666666667,45.45,0,17,COTE ST LUC,,,,6.1,0,0,8.3,0,1960-11-17 00:00:00,,,,7.2,7021945.1960.11.17,,,1960,,10.8,,7021945,,QC,,,,,11,,,
-73.66666666666667,45.45,0,18,COTE ST LUC,,,,2.8,0,0,7.2,0,1960-11-18 00:00:00,,,,5,7021945.1960.11.18,,,1960,,13,,7021945,,QC,,,,,11,,,
-73.66666666666667,45.45,0,19,COTE ST LUC,,,,0,0,0,7.2,0,1960-11-19 00:00:00,,,,3.6,7021945.1960.11.19,,,1960,,14.4,,7021945,,QC,,,,,11,,,
-73.66666666666667,45.45,0,20,COTE ST LUC,,,,2.8,0,0,8.3,0,1960-11-20 00:00:00,,,,5.6,7021945.1960.11.20,,,1960,,12.4,T,7021945,,QC,,,,T,11,,,
-73.66666666666667,45.45,0,21,COTE ST LUC,,,,0.6,0,0,9.5,0,1960-11-21 00:00:00,,,,5.1,7021945.1960.11.21,,,1960,,12.9,,7021945,,QC,,,,,11,,,
-73.66666666666667,45.45,0,22,COTE ST LUC,,,,0,2,0,13.3,2,1960-11-22 00:00:00,,,,6.7,7021945.1960.11.22,,,1960,,11.3,,7021945,,QC,,,,,11,,,
-73.66666666666667,45.45,0,23,COTE ST LUC,,,,1.1,0,0,7.2,0,1960-11-23 00:00:00,,,,4.2,7021945.1960.11.23,,,1960,,13.8,,7021945,,QC,,,,,11,,,
-73.66666666666667,45.45,0,24,COTE ST LUC,,,,-1.7,0,0,7.8,0,1960-11-24 00:00:00,,,,3.1,7021945.1960.11.24,,,1960,,14.9,,7021945,,QC,,,,,11,,,
-73.66666666666667,45.45,0,25,COTE ST LUC,,,,-1.1,0,0,7.8,0,1960-11-25 00:00:00,,,,3.4,7021945.1960.11.25,,,1960,,14.6,,7021945,,QC,,,,,11,,,
