x,y,TOTAL_SNOW,LOCAL_DAY,STATION_NAME,MIN_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST_FLAG,MIN_TEMPERATURE,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS,MAX_TEMPERATURE,TOTAL_RAIN,LOCAL_DATE,HEATING_DEGREE_DAYS_FLAG,TOTAL_SNOW_FLAG,MAX_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE,ID,MAX_TEMPERATURE_FLAG,SNOW_ON_GROUND,LOCAL_YEAR,MAX_REL_HUMIDITY,HEATING_DEGREE_DAYS,TOTAL_RAIN_FLAG,CLIMATE_IDENTIFIER,MIN_TEMPERATURE_FLAG,PROVINCE_CODE,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,SNOW_ON_GROUND_FLAG,TOTAL_PRECIPITATION_FLAG,LOCAL_MONTH,MIN_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST
-73.75,45.46666666666667,0,18,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,45,,,12.2,0,0,23.3,0,1966-06-18 00:00:00,,,,17.8,7025250.1966.6.18,,0,1966,89,0.2,,7025250,,QC,39,,,,6,,,20
-73.75,45.46666666666667,0,19,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,31,,,13.3,0,1.7,26.1,0,1966-06-19 00:00:00,,,,19.7,7025250.1966.6.19,,0,1966,81,0,,7025250,,QC,0,,,,6,,,0
-73.75,45.46666666666667,0,20,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,40,,,16.1,1.3,4,27.8,1.3,1966-06-20 00:00:00,,,,22,7025250.1966.6.20,,0,1966,85,0,,7025250,,QC,64,,,,6,,,23
-73.75,45.46666666666667,0,21,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,33,,,12.8,0,0,22.2,0,1966-06-21 00:00:00,,,,17.5,7025250.1966.6.21,,0,1966,87,0.5,,7025250,,QC,0,,,,6,,,0
-73.75,45.46666666666667,0,22,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,31,,,10.6,0,0,23.9,0,1966-06-22 00:00:00,,,,17.3,7025250.1966.6.22,,0,1966,75,0.7,,7025250,,QC,0,,,,6,,,0
-73.75,45.46666666666667,0,23,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,43,,,17.8,0,6.5,31.1,0,1966-06-23 00:00:00,,,,24.5,7025250.1966.6.23,,0,1966,68,0,,7025250,,QC,42,,,,6,,,25
-73.75,45.46666666666667,0,24,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,52,,,18.3,0,6.2,30,0,1966-06-24 00:00:00,,,,24.2,7025250.1966.6.24,,0,1966,84,0,T,7025250,,QC,45,,,T,6,,,36
-73.75,45.46666666666667,0,25,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,65,,,16.7,0,2.9,25,0,1966-06-25 00:00:00,,,,20.9,7025250.1966.6.25,,0,1966,90,0,T,7025250,,QC,43,,,T,6,,,36
-73.75,45.46666666666667,0,26,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,51,,,18.3,0,6.7,31.1,0,1966-06-26 00:00:00,,,,24.7,7025250.1966.6.26,,0,1966,94,0,T,7025250,,QC,31,,,T,6,,,23
-73.75,45.46666666666667,0,27,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,41,,,21.1,0,8.4,31.7,0,1966-06-27 00:00:00,,,,26.4,7025250.1966.6.27,,0,1966,83,0,T,7025250,,QC,37,,,T,6,,,23
