x,y,TOTAL_SNOW,LOCAL_DAY,STATION_NAME,MIN_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,DIRECTION_MAX_GUST_FLAG,MIN_TEMPERATURE,TOTAL_PRECIPITATION,COOLING_DEGREE_DAYS,MAX_TEMPERATURE,TOTAL_RAIN,LOCAL_DATE,HEATING_DEGREE_DAYS_FLAG,TOTAL_SNOW_FLAG,MAX_REL_HUMIDITY_FLAG,MEAN_TEMPERATURE,ID,MAX_TEMPERATURE_FLAG,SNOW_ON_GROUND,LOCAL_YEAR,MAX_REL_HUMIDITY,HEATING_DEGREE_DAYS,TOTAL_RAIN_FLAG,CLIMATE_IDENTIFIER,MIN_TEMPERATURE_FLAG,PROVINCE_CODE,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,SNOW_ON_GROUND_FLAG,TOTAL_PRECIPITATION_FLAG,LOCAL_MONTH,MIN_REL_HUMIDITY_FLAG,COOLING_DEGREE_DAYS_FLAG,DIRECTION_MAX_GUST
-73.75,45.46666666666667,0,13,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,51,,M,-7.9,0,0,1.4,0,1993-12-13 00:00:00,,,,-3.3,7025250.1993.12.13,,0,1993,86,21.3,,7025250,,QC,0,,,,12,,,
-73.75,45.46666666666667,0,14,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,52,,,-6.2,0,0,3.6,0,1993-12-14 00:00:00,,,,-1.3,7025250.1993.12.14,,0,1993,86,19.3,,7025250,,QC,37,,,,12,,,3
-73.75,45.46666666666667,0,15,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,36,,,0.8,0,0,6.9,0,1993-12-15 00:00:00,,,,3.9,7025250.1993.12.15,,0,1993,75,14.1,,7025250,,QC,37,,,,12,,,3
-73.75,45.46666666666667,0,16,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,54,,,-7.2,0,0,1,0,1993-12-16 00:00:00,,,,-3.1,7025250.1993.12.16,,0,1993,86,21.1,,7025250,,QC,41,,,,12,,,2
-73.75,45.46666666666667,0,17,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,59,,M,-9.8,0,0,-1,0,1993-12-17 00:00:00,,,,-5.4,7025250.1993.12.17,,0,1993,86,23.4,,7025250,,QC,0,,,,12,,,
-73.75,45.46666666666667,0.4,18,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,64,,M,-6.5,0.4,0,-0.2,0,1993-12-18 00:00:00,,,,-3.4,7025250.1993.12.18,,0,1993,93,21.4,,7025250,,QC,0,,,,12,,,
-73.75,45.46666666666667,0,19,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,74,,M,-3.7,0,0,0.2,0,1993-12-19 00:00:00,,T,,-1.8,7025250.1993.12.19,,0,1993,93,19.8,,7025250,,QC,0,,T,T,12,,,
-73.75,45.46666666666667,0,20,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,75,,M,-0.1,0,0,4.1,0,1993-12-20 00:00:00,,T,,2,7025250.1993.12.20,,0,1993,100,16,T,7025250,,QC,0,,T,T,12,,,
-73.75,45.46666666666667,26,21,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,80,,,0.1,26.2,0,2.6,0.2,1993-12-21 00:00:00,,,,1.4,7025250.1993.12.21,,0,1993,100,16.6,,7025250,,QC,63,,,,12,,,4
-73.75,45.46666666666667,1.4,22,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,67,,,-14.1,1.4,0,0.6,0,1993-12-22 00:00:00,,,,-6.8,7025250.1993.12.22,,13,1993,98,24.8,,7025250,,QC,65,,,,12,,,25
-73.75,45.46666666666667,0,23,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,55,,M,-19.2,0,0,-13.4,0,1993-12-23 00:00:00,,,,-16.3,7025250.1993.12.23,,13,1993,77,34.3,,7025250,,QC,0,,,,12,,,
-73.75,45.46666666666667,0.8,24,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,73,,M,-19,0.8,0,-4.6,0,1993-12-24 00:00:00,,,,-11.8,7025250.1993.12.24,,13,1993,93,29.8,,7025250,,QC,0,,,,12,,,
-73.75,45.46666666666667,0.4,25,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,63,,,-12.3,0.4,0,-3.8,0,1993-12-25 00:00:00,,,,-8.1,7025250.1993.12.25,,14,1993,100,26.1,,7025250,,QC,37,,,,12,,,23
-73.75,45.46666666666667,0,26,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,48,,,-28,0,0,-6.2,0,1993-12-26 00:00:00,,T,,-17.1,7025250.1993.12.26,,14,1993,79,35.1,,7025250,,QC,59,,,T,12,,,25
-73.75,45.46666666666667,0,27,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,46,,M,-30.6,0,0,-23.9,0,1993-12-27 00:00:00,,T,,-27.3,7025250.1993.12.27,,13,1993,76,45.3,,7025250,,QC,0,,,T,12,,,
